station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,3,52,459,494.4877,196.4671,582.493,0.39011819,132.949,4,top,0.0,0.0,,18140.0,101.34926470588235,89.33603786342123,126.71532846715328,99.90211196781763,88.0,False,False,
P2_IN,3,53,458,196.6092,79.5745,262.5279,0.40824674,131.527,4,top,0.0,0.0,,9306.0,98.92265496434449,87.21806167400881,127.20909090909092,98.214463840399,88.0,False,False,
P2_IN,3,54,457,526.7163,208.2026,616.7684,0.38800692,133.001,4,top,0.0,0.0,,15519.0,110.94744218640504,100.07217939733707,143.38291139240505,110.51287128712872,104.0,False,False,
P2_IN,3,55,456,377.7769,149.7542,456.7782,0.39296289,132.679,4,top,0.0,0.0,,19852.0,123.16165413533835,106.8500403551251,168.4293537787514,120.35066864784547,104.0,False,False,
P2_IN,3,56,455,228.8381,91.3143,296.7876,0.40143896,131.873,4,top,0.0,0.0,,6866.0,117.33333333333333,101.97203428055931,165.23287671232876,116.33830845771145,104.0,False,False,
P2_IN,3,57,454,410.0043,161.4895,491.0474,0.38951396,132.77,4,top,3.0,1.0,0.3333333333333333,57577.0,95.27660816275483,85.67524075540918,118.51676370206786,95.13611470676092,88.0,False,False,0.2721655269759087
P2_IN,3,58,453,261.0647,103.051,331.0554,0.39683326,132.134,4,top,0.0,0.0,,10325.0,104.19902120717782,90.52158180408374,134.8505747126437,102.36605446485117,88.0,False,False,
P2_IN,3,59,452,442.2302,173.2231,525.3226,0.38712481,132.837,4,top,0.0,0.0,,41402.0,111.23214285714286,93.59511228533685,175.5644820295983,110.90236119974473,88.0,False,False,
P2_IN,3,60,451,293.2894,114.7849,365.3304,0.39367364,132.313,4,top,0.0,0.0,,12553.0,115.57863792258696,102.52175833885576,156.4080370942813,114.99589827727645,104.0,False,False,
P2_IN,3,61,450,474.4551,184.9561,559.5948,0.38449843,132.91,4,top,0.0,0.0,,18933.0,109.32486906840184,97.30582447230599,139.76194205168363,108.46179680940386,104.0,False,False,
P2_IN,3,62,449,325.513,126.5175,399.602,0.3901886,132.478,4,top,0.0,0.0,,455.0,254.0,211.8,1013.4797687861271,247.42857142857144,1016.0,False,False,
P2_IN,3,63,448,506.6791,196.688,593.8713,0.38240503,132.969,4,top,0.0,0.0,,12075.0,93.5792726408367,82.09840741621107,126.04938271604938,92.63672391017172,88.0,False,False,
P2_IN,4,0,575,310.9691,158.9452,400.0437,0.47913203,132.47,5,bot,0.0,0.0,,5261.0,187.60975609756096,151.75829383886256,264.4470588235294,187.05494505494505,136.0,False,False,
P2_IN,4,1,574,402.8835,205.1091,502.9053,0.47670645,132.795,5,bot,28736.0,1695.0,0.05898524498886414,18757.0,170.28029504741835,139.6123936816525,237.7323308270677,169.5990566037736,136.0,False,True,0.0013898142263425023
P2_IN,4,2,573,494.7985,251.2725,605.7661,0.47508474,132.99,5,bot,0.0,0.0,,10302.0,165.53656024716787,136.06674082313683,231.23316062176164,164.90510948905109,136.0,False,False,
P2_IN,4,3,572,291.1408,147.5139,377.1784,0.47809878,132.373,5,bot,0.0,0.0,,3820.0,186.1939058171745,150.86925795053003,272.695652173913,184.35036496350367,136.0,False,False,
P2_IN,4,4,571,383.0551,193.6743,480.0419,0.47560483,132.733,5,bot,33855.0,2375.0,0.07015211933244721,20835.0,174.89931809065382,144.53949129852745,241.48168249660785,174.69705603038938,136.0,False,True,0.0013880814217989677
P2_IN,4,5,570,474.9701,239.835,582.9013,0.4731963,132.955,5,bot,0.0,0.0,,14694.0,183.44051910598412,150.88250652741513,251.2127236580517,182.17224880382776,136.0,False,False,
P2_IN,4,6,569,199.2298,101.3555,274.3062,0.48194867,131.656,5,bot,0.0,0.0,,1888.0,206.22222222222223,159.28744939271255,329.33333333333337,206.29333333333335,152.0,False,False,
P2_IN,4,7,568,271.3081,136.0823,354.3101,0.47625445,132.263,5,bot,0.0,0.0,,3332.0,193.8512396694215,155.06994328922497,299.73333333333335,193.49333333333334,152.0,False,False,
